Sun Jun  4 00:01:46 2023    info.dat

         389594 function calls (376557 primitive calls) in 1.617 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       92    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\transforms.py:754(__init__)
     1006    0.000    0.000    0.003    0.000 {built-in method builtins.min}
      841    0.000    0.000    0.006    0.000 {method 'mean' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 {method 'connect' of '_socket.socket' objects}
        1    0.000    0.000    0.040    0.040 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\combinatorics\polyhedron.py:1(<module>)
      790    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\containers.py:64(__len__)
      443    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\re.py:187(match)
      210    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\markers.py:302(_set_fillstyle)
     2154    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      243    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\lines.py:1198(_set_markercolor)
      509    0.000    0.000    0.002    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\numbers.py:2257(__lt__)
       32    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       23    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\facts.py:499(deduce_all_facts)
  271/172    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\transforms.py:167(_invalidate_internal)
       26    0.000    0.000    0.029    0.001 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\axis.py:421(__init__)
      131    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
      132    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\font_manager.py:896(set_size)
       32    0.000    0.000    0.018    0.001 <frozen importlib._bootstrap_external>:950(get_code)
     1290    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      459    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\utilities\iterables.py:1950(<genexpr>)
       42    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap>:921(_find_spec)
1233/1229    0.000    0.000    0.001    0.000 {built-in method builtins.all}
  106/102    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\sorting.py:180(_nodes)
     1414    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       17    0.000    0.000    0.000    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     1021    0.000    0.000    0.000    0.000 {built-in method builtins.max}
     1492    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
     1773    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\core\multiarray.py:152(concatenate)
      210    0.000    0.000    0.013    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\markers.py:228(__init__)
      459    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\combinatorics\permutations.py:454(<listcomp>)
